name,position,team,height,weight,draft,college,age,40-yard,speed,burst,agility,bench,col-qbr,col-ypa,col-breakout,col-sparq,games-played,pass-attempts,pass-yards,comp-percentage,ypa,rush-yards,tds,fantasy-ppg
Justin Fields,QB4,Chicago Bears,190.5,227,1.11,Ohio State,23.7,4.51,nan,nan,nan,nan,92.1,9.2,20.5,nan,10,207,1489,58.9,7.2,749,12,21.1
Tua Tagovailoa,QB10,Miami Dolphins,182.9,217,1.05,Alabama,24.7,4.79,nan,nan,nan,13,94.8,11.3,20.5,nan,8,248,2265,71.0,9.1,35,18,20.4
Deshaun Watson,NaN,Cleveland Browns,188.0,221,1.12,Clemson,27.2,4.66,116.4,11.26,49,20,85.3,8.1,20.0,98.9,16,544,4823,70.2,8.9,444,33,23.5
Jalen Hurts,QB3,Philadelphia Eagles,185.4,222,2.21,Oklahoma,24.3,4.59,123.8,nan,53,18,89.7,11.3,18.1,nan,9,265,2217,67.9,8.4,354,14,24.3
Patrick Mahomes,QB2,Kansas City Chiefs,188.0,225,1.10,Texas Tech,27.2,4.8,109.5,10.96,60,24,82.5,8.5,19.0,99.8,9,366,2936,66.9,8.0,215,25,26.7
Josh Allen,QB1,Buffalo Bills,195.6,237,1.07,Wyoming,26.5,4.75,118.1,11.3,62,37,63.2,7.7,20.3,96.7,9,341,2733,64.5,8.0,476,20,27.2
Justin Herbert,QB15,Los Angeles Chargers,198.1,236,1.06,Oregon,24.7,4.68,123.6,11.52,55,25,77.4,8.9,18.5,99.5,9,386,2450,65.8,6.3,73,14,16.8
Lamar Jackson,QB6,Baltimore Ravens,188.0,216,1.32,Louisville,25.8,4.44,nan,nan,49,13,85.0,8.5,18.7,nan,9,257,1768,62.3,6.9,635,16,22.5
Dak Prescott,QB32,Dallas Cowboys,188.0,226,4.37,Mississippi State,29.3,4.79,114.9,11.43,54,25,83.8,8.0,20.1,95.0,4,127,856,63.8,6.7,51,6,16.3
Daniel Jones,QB16,New York Giants,195.6,221,1.06,Duke,25.5,4.81,118.6,11.41,54,37,72.0,6.8,19.3,92.1,9,237,1596,65.8,6.7,387,8,16.5
Colt McCoy,QB42,Arizona Cardinals,185.4,216,3.21,Texas,36.2,4.79,113.0,nan,56,25,86.9,8.2,20.0,nan,1,37,238,70.3,6.4,4,1,13.9
Zach Wilson,QB30,New York Jets,188.0,214,1.02,BYU,23.3,4.71,nan,nan,nan,nan,88.6,11.0,19.1,nan,7,189,1279,55.6,6.8,94,4,11.8
Marcus Mariota,QB11,Atlanta Falcons,193.0,222,1.02,Oregon,29.0,4.52,123.5,10.98,56,33,90.9,10.0,18.9,115.4,10,231,1747,61.9,7.6,347,12,16.2
Jimmy Garoppolo,QB20,San Francisco 49ers,188.0,226,2.30,Eastern Illinois,31.0,4.97,108.4,11.3,56,24,0.0,8.9,19.8,89.7,8,238,1931,66.8,8.1,26,11,16.0
Kenny Pickett,QB28,Pittsburgh Steelers,190.5,217,1.20,Pittsburgh,24.4,4.73,119.1,nan,nan,nan,81.2,8.7,21.3,nan,6,195,1161,66.7,6.0,149,2,12.9
Taylor Heinicke,QB33,Washington Commanders,185.4,213,Undrafted,Old Dominion,29.7,4.67,122.8,11.17,nan,nan,0.0,8.0,19.5,103.6,4,121,840,62.0,6.9,60,5,14.9
Kirk Cousins,QB12,Minnesota Vikings,190.5,214,4.07,Michigan State,34.2,4.93,104.4,11.55,59,33,72.3,8.1,21.0,79.3,9,354,2356,64.1,6.7,50,14,17.9
Geno Smith,QB7,Seattle Seahawks,188.0,218,2.07,West Virginia,32.1,4.59,120.6,nan,55,24,77.5,8.1,19.9,nan,10,316,2474,72.8,7.8,218,17,18.7
Russell Wilson,QB22,Denver Broncos,154.9,204,3.12,Wisconsin,34.0,4.55,118.5,11.06,56,28,93.9,10.3,19.8,109.9,8,270,1980,57.4,7.3,121,7,15.2
Kyler Murray,QB8,Arizona Cardinals,154.9,207,1.01,Oklahoma,25.3,4.49,nan,nan,nan,20,95.8,11.6,21.1,nan,9,360,2168,66.7,6.0,359,12,20.1
Trevor Lawrence,QB13,Jacksonville Jaguars,198.1,220,1.01,Clemson,23.1,4.66,nan,nan,nan,nan,87.3,9.0,19.9,nan,10,348,2334,65.2,6.7,178,13,16.7
Bryce Young,NaN,NaN,182.9,194,2023,Alabama,21.3,4.8,67.8,24.7,4.55,91,0.0,7.1,20.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
Joe Burrow,QB5,Cincinnati Bengals,193.0,221,1.01,LSU,25.9,4.82,nan,nan,nan,34,94.9,10.8,21.7,nan,10,372,2890,69.1,7.8,146,22,23.4
Aaron Rodgers,QB14,Green Bay Packers,188.0,223,1.24,California,39.0,4.71,115.4,11.71,nan,39,75.1,8.1,19.8,99.5,10,337,2315,65.0,6.9,64,17,15.2
Tom Brady,QB18,Tampa Bay Buccaneers,195.6,211,6.33,Michigan,45.3,5.28,92.4,11.58,nan,33,0.0,7.5,21.1,70.5,10,427,2805,66.0,6.6,8,12,15.5
John Wolford,QB44,Los Angeles Rams,154.9,205,Undrafted,Wake Forest,27.1,4.82,108.8,10.96,nan,nan,77.6,8.5,20.9,93.8,1,36,212,66.7,5.9,3,1,9.8
Drake Maye,NaN,NaN,195.6,220,2024,North Carolina,0.0,nan,nan,nan,nan,86,0.0,8.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ryan Tannehill,QB27,Tennessee Titans,193.0,221,1.08,Texas A&M,34.3,4.7,nan,nan,nan,34,68.3,7.1,22.1,nan,7,182,1352,62.6,7.4,41,8,13.0
Desmond Ridder,NaN,Atlanta Falcons,190.5,207,3.10,Cincinnati,23.2,4.52,126.5,nan,nan,nan,80.9,8.4,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jared Goff,QB17,Detroit Lions,193.0,215,1.01,California,28.1,4.82,102.3,11.64,58,34,82.2,8.9,18.9,81.5,9,301,2277,63.8,7.6,43,15,16.4
Derek Carr,QB18,Las Vegas Raiders,188.0,214,2.04,Fresno State,31.6,4.69,115.4,11.2,nan,20,77.0,7.7,20.4,102.8,9,311,2128,62.4,6.8,67,13,15.4
Baker Mayfield,QB30,Carolina Panthers,185.4,215,1.01,Oklahoma,27.6,4.84,106.3,11.28,60,25,92.6,11.5,18.4,89.0,6,173,1117,56.6,6.5,40,6,12.1
Mac Jones,QB31,New England Patriots,190.5,217,1.15,Alabama,24.2,4.88,114.0,11.43,nan,nan,96.1,11.2,22.0,88.3,6,168,1140,66.1,6.8,78,4,11.1
Matt Ryan,QB21,Indianapolis Colts,195.6,228,1.03,Boston College,37.5,4.89,nan,11.91,nan,32,70.6,7.3,20.3,nan,8,325,2230,68.9,6.9,49,10,15.6
Malik Willis,QB47,Tennessee Titans,185.4,219,3.22,Liberty,23.5,nan,nan,nan,nan,78,74.4,8.5,21.3,nan,5,30,141,40.0,4.7,64,0,1.4
Matthew Stafford,QB26,Los Angeles Rams,188.0,225,1.01,Georgia,34.8,4.81,106.9,11.53,nan,38,77.4,9.0,19.6,87.5,8,285,1928,68.4,6.8,5,8,12.7
Shedeur Sanders,NaN,NaN,188.0,215,2024,Jackson State,20.8,nan,nan,nan,nan,86,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Andy Dalton,QB25,New Orleans Saints,188.0,215,2.03,TCU,35.0,4.87,104.6,11.2,56,29,81.2,9.0,20.9,89.0,7,217,1559,65.0,7.2,34,11,14.7
Jacoby Brissett,QB19,Cleveland Browns,193.0,231,3.29,NC State,29.9,4.94,110.8,11.7,56,24,68.2,6.9,21.7,83.8,9,290,2074,63.8,7.2,182,8,14.9
C.J. Stroud,NaN,NaN,190.5,205,2023,Ohio State,21.1,4.85,70.5,30.5,4.81,84,0.0,0.0,19.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
Andrew Luck,NaN,NaN,193.0,234,1.01,Stanford,33.2,4.59,125.0,11.08,nan,37,93.2,8.9,20.0,108.6,16,639,4593,67.3,7.2,148,39,21.1
Trey Lance,QB43,San Francisco 49ers,193.0,226,1.03,North Dakota State,22.5,4.69,nan,nan,nan,nan,0.0,9.7,nan,nan,2,31,194,48.4,6.3,67,0,6.7
Davis Mills,QB23,Houston Texans,193.0,225,3.03,Stanford,24.1,4.87,111.0,11.35,nan,nan,77.4,7.8,20.9,89.5,9,295,1975,62.4,6.7,28,11,12.8
Bryce Perkins,QB59,Los Angeles Rams,190.5,215,Undrafted,Virginia,25.9,4.73,nan,nan,nan,nan,70.8,7.1,21.7,nan,1,1,3,100.0,3.0,4,0,0.3
Hendon Hooker,NaN,NaN,193.0,218,2023,Tennessee,24.8,4.96,67.4,34.0,4.44,78,0.0,0.0,21.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
Caleb Williams,NaN,NaN,185.4,210,2024,USC,21.0,nan,nan,nan,nan,89,86.5,9.1,19.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jordan Travis,NaN,NaN,185.4,201,2024,Florida State,0.0,nan,nan,nan,nan,75,72.1,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Robert Griffin III,NaN,NaN,188.0,223,1.02,Baylor,32.7,4.41,128.3,nan,nan,24,82.5,10.7,18.6,nan,4,14,42,57.1,3.0,69,0,1.1
Michael Vick,NaN,NaN,182.9,210,1.01,Virginia Tech,42.4,4.38,128.8,nan,nan,20,0.0,11.3,19.2,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0
Will Levis,NaN,NaN,190.5,222,2023,Kentucky,23.4,4.8,84.4,35.7,4.1,79,0.0,0.0,22.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
Case Keenum,QB58,Buffalo Bills,185.4,208,Undrafted,Houston,34.7,4.82,108.4,11.15,nan,nan,81.4,9.3,19.6,92.7,2,7,8,28.6,1.1,0,0,0.2
Bo Nix,NaN,NaN,190.5,214,2023,Oregon,22.7,4.71,82.9,32.0,4.37,86,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Matt Corral,NaN,Carolina Panthers,188.0,212,3.30,Ole Miss,23.8,4.8,73.8,29.9,4.4,84,85.2,9.5,20.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sam Ehlinger,QB41,Indianapolis Colts,185.4,222,6.33,Texas,24.1,4.89,120.9,11.59,nan,nan,77.6,8.0,19.9,92.7,2,52,304,61.5,5.8,54,0,7.3
Anthony Richardson,NaN,NaN,193.0,236,2024,Florida,0.0,4.94,78.9,29.5,4.7,82,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jordan Love,QB50,Green Bay Packers,190.5,224,1.26,Utah State,24.0,4.74,121.1,11.73,54,27,59.8,7.9,19.8,94.1,2,9,73,66.7,8.1,0,0,1.5
Ben Roethlisberger,QB21,NaN,195.6,241,1.11,Miami (OH),40.7,4.8,nan,nan,nan,25,0.0,9.1,19.5,nan,16,605,3740,64.5,6.2,5,22,14.3
Carson Wentz,QB24,Washington Commanders,195.6,237,1.02,North Dakota State,29.9,4.77,112.4,11.01,57,40,0.0,7.9,21.7,100.6,6,232,1489,62.1,6.4,79,10,17.2
Drew Brees,NaN,NaN,185.4,213,2.01,Purdue,43.8,4.83,108.5,11.3,52,28,0.0,7.1,19.6,94.8,12,390,2942,70.5,7.5,2,24,18.0
P.J. Walker,QB39,Carolina Panthers,154.9,214,Undrafted,Temple,27.7,4.79,107.1,11.3,nan,nan,65.2,8.3,18.5,87.3,6,106,731,59.4,6.9,39,3,7.0
Cam Newton,QB36,NaN,195.6,248,1.01,Auburn,33.5,4.59,124.3,11.1,56,21,89.4,10.2,21.3,112.9,8,126,684,54.8,5.4,230,4,11.4
Sam Darnold,QB28,Carolina Panthers,190.5,221,1.03,USC,25.4,4.85,98.9,11.36,nan,28,80.4,8.5,19.3,82.9,12,406,2526,59.9,6.2,222,9,14.2
Jameis Winston,QB36,New Orleans Saints,193.0,231,1.01,Florida State,28.8,4.97,101.4,11.52,55,27,89.4,9.5,19.7,84.9,3,115,858,63.5,7.5,16,4,16.3
