name,position,team,height,weight,draft,college,age,40-yard,speed,burst,agility,bench,col-dom,col-ypr,col-breakout,col-sparq,games-played,targets,rec,rec-yards,ypr,air-yards,tds,fantasy-ppg
James Mitchell,TE69,Detroit Lions,193.0,249,5.34,Virginia Tech,23.2,4.77,89.6,29.9,4.41,79,17.4,12.6,21.1,nan,5,3,3,22,7.3,5,1,2.2
Brock Wright,TE64,Detroit Lions,193.0,257,Undrafted,Notre Dame,23.9,4.71,103.9,114.1,11.56,9.94,0.0,0.0,nan,122.7,8,7,6,88,14.7,24,0,1.9
T.J. Hockenson,TE5,Minnesota Vikings,195.6,251,1.08,Iowa,25.3,4.7,103.7,127.1,11.2,10.28,24.0,15.5,21.2,115.2,8,52,35,465,13.3,380,3,12.7
Isaiah Likely,TE25,Baltimore Ravens,195.6,245,4.34,Coastal Carolina,22.5,4.88,87.1,124.5,11.96,9.92,31.4,15.5,18.4,nan,9,30,17,205,12.1,224,2,5.5
Greg Dulcich,TE32,Denver Broncos,193.0,243,3.16,UCLA,22.6,4.7,99.1,120.5,11.42,10.08,27.3,18.6,20.4,102.4,3,17,12,182,15.2,226,1,12.1
Kyle Pitts,TE19,Atlanta Falcons,198.1,245,1.04,Florida,22.1,4.49,123.1,123.1,11.47,10.21,24.1,15.0,19.9,120.9,8,46,23,285,12.4,643,2,7.9
Travis Kelce,TE1,Kansas City Chiefs,195.6,260,3.01,Cincinnati,33.1,4.66,111.1,123.3,11.51,10.15,27.6,16.0,22.9,nan,8,77,57,659,11.6,554,7,20.9
Cade Otton,TE22,Tampa Bay Buccaneers,195.6,245,4.01,Washington,23.5,nan,nan,nan,nan,77,31.8,11.6,21.4,nan,8,32,23,246,10.7,211,1,6.7
Hayden Hurst,TE8,Cincinnati Bengals,195.6,250,1.25,South Carolina,29.2,4.67,105.9,115.1,11.56,9.97,15.6,12.7,nan,101.5,9,48,38,303,8.0,239,2,8.9
Mark Andrews,TE2,Baltimore Ravens,195.6,256,3.22,Oklahoma,27.1,4.67,108.5,110.8,11.72,9.96,18.0,15.5,nan,102.9,8,64,42,488,11.6,692,5,15.2
Cole Kmet,TE21,Chicago Bears,193.0,262,2.11,Notre Dame,23.6,4.7,106.8,126.3,11.85,10.07,20.8,12.0,20.5,nan,9,26,19,200,10.5,183,3,6.4
Evan Engram,TE12,Jacksonville Jaguars,190.5,234,1.23,Ole Miss,28.2,4.42,120.4,125.5,11.15,10.31,29.5,14.2,22.0,123.9,9,47,33,338,10.2,352,1,8.3
Dallas Goedert,TE4,Philadelphia Eagles,195.6,256,2.17,South Dakota State,27.8,4.69,106.7,121.8,11.33,10.17,30.7,14.7,21.7,119.4,8,49,40,521,13.0,256,2,13.0
Brevin Jordan,TE74,Houston Texans,190.5,245,5.03,Miami,22.3,4.73,96.1,117.5,12.07,9.85,27.9,12.1,18.1,99.3,5,16,6,32,5.3,103,0,1.8
Noah Fant,TE20,Seattle Seahawks,193.0,249,1.20,Iowa,24.9,4.5,120.8,132.6,11.03,10.46,27.0,14.9,19.8,128.8,9,34,27,272,10.1,199,1,6.7
Gerald Everett,TE10,Los Angeles Chargers,190.5,239,2.12,South Alabama,28.3,4.62,103.0,128.6,11.32,10.21,31.7,14.3,21.2,120.1,8,53,32,341,10.7,373,2,9.8
Dawson Knox,TE24,Buffalo Bills,193.0,254,3.32,Ole Miss,26.0,4.64,109.0,121.4,11.39,10.15,4.2,16.2,nan,109.9,7,27,20,183,9.2,188,2,7.2
Mike Gesicki,TE15,Miami Dolphins,198.1,247,2.10,Penn State,27.1,4.54,118.7,137.1,10.86,10.66,21.5,9.9,21.9,136.9,9,32,22,238,10.8,282,4,7.8
Tyler Conklin,TE7,New York Jets,190.5,254,5.20,Central Michigan,27.2,4.8,93.9,126.5,11.36,10.18,24.1,13.9,21.1,113.0,9,50,33,314,9.5,353,3,9.2
Irv Smith,TE23,Minnesota Vikings,188.0,242,2.18,Alabama,24.2,4.63,102.0,111.9,11.65,9.88,14.0,16.1,nan,108.9,7,33,22,168,7.6,164,2,7.3
Juwan Johnson,TE17,New Orleans Saints,193.0,230,Undrafted,Oregon,26.1,4.58,104.0,119.8,11.31,10.15,17.6,14.8,23.0,100.5,9,36,23,258,11.2,305,3,7.4
Robert Tonyan,TE11,Green Bay Packers,195.6,236,Undrafted,Indiana State,28.5,4.63,103.5,123.8,11.46,10.14,38.0,12.5,21.4,105.9,9,46,38,315,8.3,245,1,8.4
George Kittle,TE14,San Francisco 49ers,193.0,247,5.02,Iowa,29.1,4.52,117.7,127.3,10.83,10.36,23.2,14.3,21.9,124.1,6,39,28,319,11.4,226,2,11.7
Pat Freiermuth,TE13,Pittsburgh Steelers,195.6,251,2.23,Penn State,24.0,4.77,97.7,nan,nan,nan,24.8,13.8,19.9,nan,7,48,32,367,11.5,438,1,10.7
Tyler Higbee,TE16,Los Angeles Rams,198.1,249,4.12,Western Kentucky,29.8,4.67,106.9,nan,nan,nan,15.6,13.9,22.7,nan,8,57,36,312,8.7,206,0,8.4
Dalton Schultz,TE30,Dallas Cowboys,195.6,244,4.37,Stanford,26.3,4.75,96.6,116.0,11.4,9.97,11.4,9.6,nan,96.0,6,29,20,203,10.2,173,0,6.4
Foster Moreau,TE36,Las Vegas Raiders,193.0,253,4.35,LSU,25.5,4.66,106.7,124.4,11.27,10.26,12.3,12.0,nan,127.0,6,28,17,175,10.3,179,0,5.5
Chig Okonkwo,TE50,Tennessee Titans,188.0,243,4.38,Maryland,23.1,4.52,112.8,120.6,11.64,10.04,15.7,9.6,nan,104.2,8,11,6,100,16.7,92,1,2.7
Harrison Bryant,TE45,Cleveland Browns,195.6,243,4.09,Florida Atlantic,24.5,4.73,97.9,111.9,11.78,9.87,26.2,14.1,19.4,95.0,8,21,14,114,8.1,164,0,3.2
David Njoku,TE9,Cleveland Browns,193.0,246,1.29,Miami,26.3,4.64,105.6,132.1,11.31,10.32,24.6,16.2,20.2,118.3,7,42,34,418,12.3,275,1,11.3
Zach Ertz,TE3,Arizona Cardinals,195.6,249,2.03,Stanford,32.0,4.76,97.8,119.1,11.55,10.05,31.8,13.0,21.8,113.8,9,68,46,394,8.6,501,4,12.6
Teagan Quitoriano,TE79,Houston Texans,198.1,256,5.27,Oregon State,22.6,4.99,84.3,114.3,11.83,9.87,12.7,11.3,nan,100.0,1,1,1,2,2.0,2,1,7.2
Trey McBride,TE90,Arizona Cardinals,193.0,245,2.23,Colorado State,22.9,4.61,107.9,116.3,nan,nan,46.3,13.7,20.8,nan,8,3,3,24,8.0,12,0,0.7
Jordan Akins,TE34,Houston Texans,190.5,249,3.34,UCF,30.5,4.84,89.1,122.3,11.67,9.94,28.2,13.1,23.4,113.4,6,15,11,159,14.5,107,1,5.5
Taysom Hill,TE6,New Orleans Saints,188.0,221,Undrafted,BYU,32.2,4.51,nan,128.4,11.4,nan,0.0,0.0,23.0,110.1,8,5,3,16,5.3,3,1,10.4
O.J. Howard,TE38,Houston Texans,198.1,251,1.19,Alabama,27.9,4.51,123.9,113.0,11.01,10.23,15.2,13.2,nan,123.1,8,15,8,110,13.8,191,2,3.9
Darren Waller,TE29,Las Vegas Raiders,198.1,255,6.28,Georgia Tech,30.1,4.46,131.6,127.3,11.32,10.38,32.1,17.0,22.0,115.1,5,24,16,175,10.9,272,1,7.9
Charlie Kolar,NaN,Baltimore Ravens,200.7,252,4.23,Iowa State,23.7,4.67,109.6,122.1,11.3,10.33,28.5,12.8,20.6,104.1,nan,nan,nan,nan,nan,nan,nan,nan
Daniel Bellinger,TE26,New York Giants,195.6,250,4.07,San Diego State,22.1,4.63,109.7,123.8,11.47,10.13,16.2,12.5,nan,115.2,7,18,16,152,9.5,51,2,7.1
Josh Oliver,TE59,Baltimore Ravens,195.6,249,3.05,San Jose State,25.8,4.63,109.2,118.0,11.68,10.07,20.6,12.7,21.7,113.0,9,10,6,52,8.7,31,1,1.9
Jelani Woods,TE34,Indianapolis Colts,200.7,252,3.09,Virginia,24.1,4.61,115.4,130.1,11.28,10.42,34.6,13.6,22.9,126.0,9,13,7,79,11.3,176,3,3.7
Logan Thomas,TE41,Washington Commanders,198.1,248,4.20,Virginia Tech,31.3,4.61,112.1,121.1,11.23,10.34,0.0,0.0,nan,nan,6,23,13,106,8.2,212,1,4.9
Noah Gray,TE39,Kansas City Chiefs,190.5,240,5.18,Duke,23.5,4.67,99.1,118.8,11.35,10.04,19.7,8.6,18.4,100.3,8,17,12,123,10.3,107,0,3.8
Rob Gronkowski,TE7,NaN,198.1,265,2.10,Arizona,33.5,4.73,108.1,118.1,11.65,10.09,19.1,14.3,18.3,112.9,12,89,55,802,14.6,938,6,14.3
Tanner Hudson,TE63,New York Giants,195.6,239,Undrafted,Southern Arkansas,28.0,4.84,87.8,nan,nan,nan,22.6,15.2,20.8,nan,8,11,6,98,16.3,86,0,2.0
Kylen Granson,TE31,Indianapolis Colts,185.4,241,4.22,SMU,24.6,4.69,95.2,123.9,11.33,10.06,21.5,16.0,18.4,104.5,9,27,20,176,8.8,134,0,4.2
Hunter Henry,TE27,New England Patriots,195.6,250,2.04,Arkansas,27.9,4.73,100.7,111.6,11.57,9.96,20.1,14.5,18.7,93.7,9,28,19,240,12.6,227,1,5.4
Tommy Tremble,TE40,Carolina Panthers,190.5,241,3.19,Notre Dame,22.4,4.7,97.0,124.9,nan,nan,8.2,11.5,nan,nan,9,18,10,99,9.9,171,2,3.3
Will Dissly,TE18,Seattle Seahawks,193.0,262,4.20,Washington,26.3,4.87,92.7,104.5,11.47,9.75,10.3,13.8,nan,90.4,9,26,24,230,9.6,94,3,7.2
Austin Hooper,TE43,Tennessee Titans,193.0,254,3.18,Stanford,28.0,4.72,101.8,116.3,11.32,10.09,17.4,12.9,nan,108.4,8,17,12,150,12.5,166,0,3.4
Donald Parham,TE78,Los Angeles Chargers,203.2,240,Undrafted,Stenson,25.2,4.73,100.4,129.9,12.04,10.29,48.9,13.9,19.1,103.5,2,4,3,53,17.7,51,0,4.2
Jake Ferguson,TE42,Dallas Cowboys,195.6,250,4.24,Wisconsin,23.8,4.81,94.1,114.1,11.51,9.93,28.2,10.0,19.6,92.2,8,12,9,68,7.6,69,2,3.5
Adam Trautman,TE49,New Orleans Saints,195.6,255,3.41,Dayton,25.7,4.8,96.8,117.4,11.05,10.18,38.1,13.1,20.6,107.6,7,9,8,94,11.8,68,1,3.3
Chris Myarick,TE85,New York Giants,193.0,251,Undrafted,Temple,27.1,4.9,86.6,114.9,11.63,9.9,5.1,10.4,nan,105.7,8,6,3,17,5.7,12,1,1.3
Jonnu Smith,TE37,New England Patriots,190.5,248,3.36,Florida International,27.2,4.62,106.9,130.0,11.61,10.18,33.0,11.8,18.0,127.0,8,24,16,154,9.6,82,0,3.9
Peyton Hendershot,TE48,Dallas Cowboys,193.0,250,Undrafted,Indiana,23.5,4.8,93.7,115.4,11.16,10.05,38.3,11.8,22.4,113.9,8,12,9,85,9.4,67,1,2.9
Albert Okwuegbunam,TE67,Denver Broncos,198.1,258,4.12,Missouri,24.5,4.49,129.6,nan,nan,nan,28.3,13.0,19.4,nan,5,11,7,50,7.1,33,0,2.4
Coby Fleener,NaN,NaN,198.1,247,2.02,Stanford,34.1,4.56,116.6,122.8,11.32,10.34,22.4,19.6,22.0,133.7,11,30,22,295,13.4,225,2,5.8
Jared Cook,TE18,NaN,195.6,248,3.25,South Carolina,35.6,4.5,121.9,133.3,11.81,10.4,17.4,15.5,21.4,125.6,16,83,48,564,11.8,680,4,8.3
Mo Alie-Cox,TE28,Indianapolis Colts,193.0,262,Undrafted,VCU,29.1,4.8,98.2,123.1,11.7,10.11,0.0,0.0,nan,113.2,9,18,13,149,11.5,81,2,4.4
Armani Rogers,NaN,Washington Commanders,170.2,225,Undrafted,Ohio,24.9,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tre McKitty,TE83,Los Angeles Chargers,193.0,243,3.33,Georgia,23.8,4.76,94.2,112.0,11.72,9.84,11.3,13.9,nan,108.2,8,7,4,28,7.0,16,0,0.9
Michael Mayer,NaN,NaN,198.1,235,2023,Notre Dame,21.3,4.8,89.2,nan,nan,84,25.0,11.8,20.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cole Turner,TE96,Washington Commanders,198.1,250,5.06,Nevada,22.6,4.76,99.4,110.8,11.39,9.96,25.8,11.6,20.5,98.0,3,7,2,23,11.5,58,0,1.4
